Impact ID,策划注释,Impact逻辑ID,参数1,参数2,参数3,参数4,Buff图标,impact互斥id,顶替优先级,死亡后是否消失,下线是否计时,脚本ID,特效,名称,描述,技能效果,技能受击效果,技能缩放,技能效果x,技能效果y,技能音效,受击缩放,受击x,受击y,受击音效,技能播放速度,受击播放速度,全体or单人（0单人，1全体）
203,冰霜新星,5,3,20,3,-1,-1,0,20,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
204,冰霜新星,5,3,20,3,-1,-1,0,20,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
301,风暴之锤,1,0,100,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
302,风暴之锤,1,0,175,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
303,风暴之锤,1,0,250,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
304,风暴之锤,1,0,325,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
401,风暴之锤,5,3,200,3,-1,-1,1,100,-1,-1,-1,-1,-1,-1,zjz_xuanyun,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
402,风暴之锤,5,3,200,3,-1,-1,1,100,-1,-1,-1,-1,-1,-1,zjz_xuanyun,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
403,风暴之锤,5,3,200,3,-1,-1,1,100,-1,-1,-1,-1,-1,-1,zjz_xuanyun,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
404,风暴之锤,5,3,200,3,-1,-1,1,100,-1,-1,-1,-1,-1,-1,zjz_xuanyun,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
501,沟壑,1,0,125,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
502,沟壑,1,0,175,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
503,沟壑,1,0,225,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
504,沟壑,1,0,275,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
601,沟壑,5,3,200,2,-1,-1,1,100,-1,-1,-1,-1,-1,-1,zjz_xuanyun,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
602,沟壑,5,3,200,2,-1,-1,1,100,-1,-1,-1,-1,-1,-1,zjz_xuanyun,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
603,沟壑,5,3,200,3,-1,-1,1,100,-1,-1,-1,-1,-1,-1,zjz_xuanyun,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
604,沟壑,5,3,200,3,-1,-1,1,100,-1,-1,-1,-1,-1,-1,zjz_xuanyun,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
701,龙破斩,1,0,100,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
702,龙破斩,1,0,170,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
703,龙破斩,1,0,230,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
704,龙破斩,1,0,280,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
801,叉形闪电,1,0,140,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
802,叉形闪电,1,0,200,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
803,叉形闪电,1,0,260,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
804,叉形闪电,1,0,320,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
901,刚毛后背,4,15,16,120,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
902,刚毛后背,4,15,24,120,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
903,刚毛后背,4,15,32,120,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
904,刚毛后背,4,15,40,120,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
1001,刚毛后背,4,21,16,120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
1002,刚毛后背,4,21,24,120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
1003,刚毛后背,4,21,32,120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
1004,刚毛后背,4,21,40,120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
1101,马蹄践踏,1,0,100,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
1102,马蹄践踏,1,0,152,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
1103,马蹄践踏,1,0,200,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
1104,马蹄践踏,1,0,250,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
1201,马蹄践踏,5,3,200,3,-1,-1,1,100,-1,-1,-1,-1,-1,-1,zjz_xuanyun,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
1202,马蹄践踏,5,3,200,3,-1,-1,1,100,-1,-1,-1,-1,-1,-1,zjz_xuanyun,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
1203,马蹄践踏,5,3,200,4,-1,-1,1,100,-1,-1,-1,-1,-1,-1,zjz_xuanyun,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
1204,马蹄践踏,5,3,200,4,-1,-1,1,100,-1,-1,-1,-1,-1,-1,zjz_xuanyun,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
1301,火焰气息,1,0,90,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
1302,火焰气息,1,0,170,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
1303,火焰气息,1,0,240,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
1304,火焰气息,1,0,300,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
1401,闪烁,0,150,0,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
1402,闪烁,0,200,0,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
1403,闪烁,0,250,0,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
1404,闪烁,0,300,0,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
1501,强击光环,4,24,14,120,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
1502,强击光环,4,24,18,120,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
1503,强击光环,4,24,22,120,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
1504,强击光环,4,24,26,120,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
1601,洗礼,4,31,90,1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
1602,洗礼,4,31,180,1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
1603,洗礼,4,31,270,1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
1604,洗礼,4,31,360,1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
1701,冲击波,1,0,200,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
1702,冲击波,1,0,300,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
1703,冲击波,1,0,400,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
1704,冲击波,1,0,500,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
1801,超强力量,4,3,100,4,-1,-1,2,100,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
1802,超强力量,4,3,100,5,-1,-1,2,100,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
1803,超强力量,4,3,100,6,-1,-1,2,100,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
1804,超强力量,4,3,100,7,-1,-1,2,100,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
1901,火焰爆轰,1,0,80,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
1902,火焰爆轰,1,0,145,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
1903,火焰爆轰,1,0,210,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
1904,火焰爆轰,1,0,275,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
2001,火焰爆轰,5,3,200,3,-1,-1,1,100,-1,-1,-1,-1,-1,-1,zjz_xuanyun,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
2002,火焰爆轰,5,3,200,3,-1,-1,1,100,-1,-1,-1,-1,-1,-1,zjz_xuanyun,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
2003,火焰爆轰,5,3,200,3,-1,-1,1,100,-1,-1,-1,-1,-1,-1,zjz_xuanyun,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
2004,火焰爆轰,5,3,200,3,-1,-1,1,100,-1,-1,-1,-1,-1,-1,zjz_xuanyun,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
2101,山崩,1,0,100,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
2102,山崩,1,0,180,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
2103,山崩,1,0,260,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
2104,山崩,1,0,300,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
2201,山崩,5,3,200,3,-1,-1,1,100,-1,-1,-1,-1,-1,-1,zjz_xuanyun,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
2202,山崩,5,3,200,3,-1,-1,1,100,-1,-1,-1,-1,-1,-1,zjz_xuanyun,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
2203,山崩,5,3,200,3,-1,-1,1,100,-1,-1,-1,-1,-1,-1,zjz_xuanyun,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
2204,山崩,5,3,200,3,-1,-1,1,100,-1,-1,-1,-1,-1,-1,zjz_xuanyun,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
2301,赎罪,5,23,25,15,-1,-1,0,8,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
2302,赎罪,5,23,25,15,-1,-1,0,16,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
2303,赎罪,5,23,25,15,-1,-1,0,24,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
2304,赎罪,5,23,25,15,-1,-1,0,32,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
2401,赎罪减少物理免疫,5,15,7,15,-1,-1,3,7,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
2402,赎罪减少物理免疫,5,15,14,15,-1,-1,3,14,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
2403,赎罪减少物理免疫,5,15,21,15,-1,-1,3,21,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
2404,赎罪减少物理免疫,5,15,28,15,-1,-1,3,28,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
2501,赎罪减少魔法免疫,5,21,7,15,-1,-1,4,7,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
2502,赎罪减少魔法免疫,5,21,14,15,-1,-1,4,14,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
2503,赎罪减少魔法免疫,5,21,21,15,-1,-1,4,21,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
2504,赎罪减少魔法免疫,5,21,28,15,-1,-1,4,28,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
2601,野性之斧,1,0,180,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
2602,野性之斧,1,0,240,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
2603,野性之斧,1,0,300,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
2604,野性之斧,1,0,360,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
2701,冰火交加,1,0,70,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
2702,冰火交加,1,0,140,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
2703,冰火交加,1,0,210,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
2704,冰火交加,1,0,280,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
2801,冰火交加,3,0,5,4,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,zjz_minghuobaojishouji,3,0,0,-1,3,0,-0.05,-1,0.08,0.04,0
2802,冰火交加,3,0,10,4,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,zjz_minghuobaojishouji,3,0,0,-1,3,0,-0.05,-1,0.08,0.04,0
2803,冰火交加,3,0,15,4,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,zjz_minghuobaojishouji,3,0,0,-1,3,0,-0.05,-1,0.08,0.04,0
2804,冰火交加,3,0,20,4,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,zjz_minghuobaojishouji,3,0,0,-1,3,0,-0.05,-1,0.08,0.04,0
2901,冰火交加,5,3,20,2,-1,-1,0,20,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
2902,冰火交加,5,3,20,2,-1,-1,0,20,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
2903,冰火交加,5,3,20,2,-1,-1,0,20,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
2904,冰火交加,5,3,20,2,-1,-1,0,20,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
3001,群星陨落,1,0,75,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
3002,群星陨落,1,0,150,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
3003,群星陨落,1,0,225,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
3004,群星陨落,1,0,300,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
3101,虚空,1,0,90,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
3102,虚空,1,0,160,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
3103,虚空,1,0,230,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
3104,虚空,1,0,300,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
3201,虚空,5,3,20,2,-1,-1,0,20,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
3202,虚空,5,3,20,2,-1,-1,0,20,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
3203,虚空,5,3,20,2,-1,-1,0,20,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
3204,虚空,5,3,20,2,-1,-1,0,20,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
3301,冥火爆击,1,0,50,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
3302,冥火爆击,1,0,100,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
3303,冥火爆击,1,0,150,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
3304,冥火爆击,1,0,200,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
3401,冥火爆击,3,0,15,2,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,zjz_minghuobaojishouji,2,0,0.1,-1,3,0,0,-1,0.08,0.04,0
3402,冥火爆击,3,0,30,2,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,zjz_minghuobaojishouji,2,0,0.1,-1,3,0,0,-1,0.08,0.04,0
3403,冥火爆击,3,0,45,2,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,zjz_minghuobaojishouji,2,0,0.1,-1,3,0,0,-1,0.08,0.04,0
3404,冥火爆击,3,0,60,2,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,zjz_minghuobaojishouji,2,0,0.1,-1,3,0,0,-1,0.08,0.04,0
3501,冥火爆击,5,3,200,3,-1,-1,1,100,-1,-1,-1,-1,-1,-1,zjz_xuanyun,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
3502,冥火爆击,5,3,200,3,-1,-1,1,100,-1,-1,-1,-1,-1,-1,zjz_xuanyun,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
3503,冥火爆击,5,3,200,3,-1,-1,1,100,-1,-1,-1,-1,-1,-1,zjz_xuanyun,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
3504,冥火爆击,5,3,200,3,-1,-1,1,100,-1,-1,-1,-1,-1,-1,zjz_xuanyun,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
3601,穿刺,1,0,80,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
3602,穿刺,1,0,140,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
3603,穿刺,1,0,200,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
3604,穿刺,1,0,260,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
3701,穿刺,5,3,200,2,-1,-1,1,100,-1,-1,-1,-1,-1,-1,zjz_xuanyun,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
3702,穿刺,5,3,200,2,-1,-1,1,100,-1,-1,-1,-1,-1,-1,zjz_xuanyun,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
3703,穿刺,5,3,200,3,-1,-1,1,100,-1,-1,-1,-1,-1,-1,zjz_xuanyun,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
3704,穿刺,5,3,200,3,-1,-1,1,100,-1,-1,-1,-1,-1,-1,zjz_xuanyun,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
3801,鱼人碎击,1,0,50,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
3802,鱼人碎击,1,0,100,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
3803,鱼人碎击,1,0,150,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
3804,鱼人碎击,1,0,200,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
3901,鱼人碎击,5,3,200,2,-1,-1,1,100,-1,-1,-1,-1,-1,-1,zjz_xuanyun,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
3902,鱼人碎击,5,3,200,3,-1,-1,1,100,-1,-1,-1,-1,-1,-1,zjz_xuanyun,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
3903,鱼人碎击,5,3,200,3,-1,-1,1,100,-1,-1,-1,-1,-1,-1,zjz_xuanyun,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
3904,鱼人碎击,5,3,200,4,-1,-1,1,100,-1,-1,-1,-1,-1,-1,zjz_xuanyun,-1,3,0,0.1,-1,3,0,0,-1,0.08,0.04,0
4001,痛苦尖叫,1,0,85,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
4002,痛苦尖叫,1,0,165,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
4003,痛苦尖叫,1,0,225,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
4004,痛苦尖叫,1,0,300,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,-1,3,0,0,-1,0.08,0.04,0
