技能ID,策划注释,技能名称,技能等级,技能描述,目标选择方式,技能施放概率,法力消耗,技能内置冷却,技能冷却ID,第一次施放,技能类型,附加Impact 1,附加Impact 1概率,选择目标类型,附加Impact 2,附加Impact 2概率,选择目标类型,附加Impact 3,附加Impact 3概率,选择目标类型,附加Impact 4,附加Impact 4概率,选择目标类型,脚本ID,英雄等级,银币消耗,学习类型,道具消耗ID,道具消耗数量,木材消耗,学习成功率,增加成功率道具,道具增加的成功率,道具最大使用数量,技能出手动作（64以下为出手动作）,技能自身特效,技能受击特效,技能图标,技能施放位置（0为原地，1为到某一列前，2为到目标前，3为到敌方整体区域）,技能受击动作（63以上为受击动作）,技能施放特效,特效的类型（0为只有受击，1为点对点，2为发射物体击中目标消失，3为向固定方向发射物体，4为一个区域的大特效）,施放特效缩放比例,施放特效x偏移量,施放特效y偏移量,施放特效声音,本体特效缩放比例,本体特效x偏移量,本体特效y偏移量,本体特效速度,本体特效声音,受击特效缩放比例,受击特效x偏移量,受击特效y偏移量,受击特效声音,施放特效播放速度,本体特效施放速度,受击特效播放速度,起始x偏移量,起始y偏移量,飞行击中x偏移量,飞行击中y偏移量,
100101,冰霜新星,冰霜新星,1,用冰霜打击敌方目标及其周围单位，造成100点伤害。冰冻效果减慢敌人的攻击速度，持续2回合,0,10000,100,15,2,1,0,101,10000,8,201,10000,8,-1,-1,-1,-1,-1,-1,-1,1,100,0,-1,-1,-1,-1,-1,10,2,1,-1,zjz_bingshuangxinxing,zj_bingshuangxinxing.jpg,0,64,-1,0,3,0,0,-1,3,0,0,1.25,-1,3,0,0,zs_bingshuangxinxing.mp3,0.04,0.04,0.08,0,0,0,0,
100102,冰霜新星,冰霜新星,2,用冰霜打击敌方目标及其周围单位，造成150点伤害。冰冻效果减慢敌人的攻击速度，持续2回合,0,10000,120,15,2,1,0,102,10000,8,202,10000,8,-1,-1,-1,-1,-1,-1,-1,3,100,0,-1,-1,-1,50,-1,10,2,1,-1,zjz_bingshuangxinxing,zj_bingshuangxinxing.jpg,0,64,-1,0,3,0,0,-1,3,0,0,1.25,-1,3,0,0,zs_bingshuangxinxing.mp3,0.04,0.04,0.08,0,0,0,0,
100103,冰霜新星,冰霜新星,3,用冰霜打击敌方目标及其周围单位，造成200点伤害。冰冻效果减慢敌人的攻击速度，持续3回合,0,10000,140,15,2,1,0,103,10000,8,203,10000,8,-1,-1,-1,-1,-1,-1,-1,5,100,0,-1,-1,-1,250,-1,10,2,1,-1,zjz_bingshuangxinxing,zj_bingshuangxinxing.jpg,0,64,-1,0,3,0,0,-1,3,0,0,1.25,-1,3,0,0,zs_bingshuangxinxing.mp3,0.04,0.04,0.08,0,0,0,0,
100104,冰霜新星,冰霜新星,4,用冰霜打击敌方目标及其周围单位，造成250点伤害。冰冻效果减慢敌人的攻击速度，持续3回合,0,10000,160,15,2,1,0,104,10000,8,204,10000,8,-1,-1,-1,-1,-1,-1,-1,7,100,0,-1,-1,-1,350,-1,10,2,1,-1,zjz_bingshuangxinxing,zj_bingshuangxinxing.jpg,0,64,-1,0,3,0,0,-1,3,0,0,1.25,-1,3,0,0,zs_bingshuangxinxing.mp3,0.04,0.04,0.08,0,0,0,0,
100105,冰霜新星,冰霜新星,5,用冰霜打击敌方目标及其周围单位，造成400点伤害。冰冻效果减慢敌人的攻击速度，持续4回合,0,10000,240,15,2,1,0,60101,10000,8,60201,10000,8,-1,-1,-1,-1,-1,-1,-1,9,100,1,10010106|10010107,1|1,3000,600,-1,10,2,1,-1,zjz_bingshuangxinxing,zj_bingshuangxinxing.jpg,0,64,-1,0,3,0,0,-1,3,0,0,1.25,-1,3,0,0,zs_bingshuangxinxing.mp3,0.04,0.04,0.08,0,0,0,0,
100106,冰霜新星,冰霜新星,6,用冰霜打击敌方目标及其周围单位，造成640点伤害。冰冻效果减慢敌人的攻击速度，持续5回合,0,10000,360,15,2,1,0,60102,10000,8,60202,10000,8,-1,-1,-1,-1,-1,-1,-1,11,100,1,10010028,1,11000,600,-1,10,2,1,-1,zjz_bingshuangxinxing,zj_bingshuangxinxing.jpg,0,64,-1,0,3,0,0,-1,3,0,0,1.25,-1,3,0,0,zs_bingshuangxinxing.mp3,0.04,0.04,0.08,0,0,0,0,
100107,冰霜新星,冰霜新星,7,用冰霜打击敌方目标及其周围单位，造成1000点伤害。冰冻效果减慢敌人的攻击速度，持续6回合,0,10000,540,15,2,1,0,60103,10000,8,60203,10000,8,-1,-1,-1,-1,-1,-1,-1,13,100,1,10010028,1,24000,600,-1,10,2,1,-1,zjz_bingshuangxinxing,zj_bingshuangxinxing.jpg,0,64,-1,0,3,0,0,-1,3,0,0,1.25,-1,3,0,0,zs_bingshuangxinxing.mp3,0.04,0.04,0.08,0,0,0,0,
100201,风暴之锤,风暴之锤,1,向目标投掷魔法之锤，造成100点伤害，并晕眩目标和其附近的敌方单位，并晕眩2回合。,0,10000,140,15,3,1,0,301,10000,8,401,10000,8,-1,-1,-1,-1,-1,-1,-1,1,100,0,-1,-1,-1,-1,-1,10,2,1,zjz_fengbaozhichui,zjz_fengbaozhichuishouji,zj_fengbaozhichui.jpg,0,64,-1,2,3,0,0,zs_fengbaozhichui.mp3,1.5,0,0,1.25,zs_fengbaozhichui.mp3,3,0,0,zs_fengbaozhichuishouji.mp3,0.04,0.04,0.04,0,0,0,0,
100202,风暴之锤,风暴之锤,2,向目标投掷魔法之锤，造成175点伤害，并晕眩目标和其附近的敌方单位，并晕眩2回合。,0,10000,140,15,3,1,0,302,10000,8,402,10000,8,-1,-1,-1,-1,-1,-1,-1,3,100,0,-1,-1,-1,50,-1,10,2,1,zjz_fengbaozhichui,zjz_fengbaozhichuishouji,zj_fengbaozhichui.jpg,0,64,-1,2,3,0,0,zs_fengbaozhichui.mp3,1.5,0,0,1.25,zs_fengbaozhichui.mp3,3,0,0,zs_fengbaozhichuishouji.mp3,0.04,0.04,0.04,0,0,0,0,
100203,风暴之锤,风暴之锤,3,向目标投掷魔法之锤，造成250点伤害，并晕眩目标和其附近的敌方单位，并晕眩2回合。,0,10000,140,15,3,1,0,303,10000,8,403,10000,8,-1,-1,-1,-1,-1,-1,-1,5,100,0,-1,-1,-1,250,-1,10,2,1,zjz_fengbaozhichui,zjz_fengbaozhichuishouji,zj_fengbaozhichui.jpg,0,64,-1,2,3,0,0,zs_fengbaozhichui.mp3,1.5,0,0,1.25,zs_fengbaozhichui.mp3,3,0,0,zs_fengbaozhichuishouji.mp3,0.04,0.04,0.04,0,0,0,0,
100204,风暴之锤,风暴之锤,4,向目标投掷魔法之锤，造成325点伤害，并晕眩目标和其附近的敌方单位，并晕眩2回合。,0,10000,140,15,3,1,0,304,10000,8,404,10000,8,-1,-1,-1,-1,-1,-1,-1,7,100,0,-1,-1,-1,350,-1,10,2,1,zjz_fengbaozhichui,zjz_fengbaozhichuishouji,zj_fengbaozhichui.jpg,0,64,-1,2,3,0,0,zs_fengbaozhichui.mp3,1.5,0,0,1.25,zs_fengbaozhichui.mp3,3,0,0,zs_fengbaozhichuishouji.mp3,0.04,0.04,0.04,0,0,0,0,
100205,风暴之锤,风暴之锤,5,向目标投掷魔法之锤，造成520点伤害，并晕眩目标和其附近的敌方单位，并晕眩3回合。,0,10000,140,15,3,1,0,60301,10000,8,60401,10000,8,-1,-1,-1,-1,-1,-1,-1,9,100,1,10010106|10010107,1|1,3000,600,-1,10,2,1,zjz_fengbaozhichui,zjz_fengbaozhichuishouji,zj_fengbaozhichui.jpg,0,64,-1,2,3,0,0,zs_fengbaozhichui.mp3,1.5,0,0,1.25,zs_fengbaozhichui.mp3,3,0,0,zs_fengbaozhichuishouji.mp3,0.04,0.04,0.04,0,0,0,0,
100206,风暴之锤,风暴之锤,6,向目标投掷魔法之锤，造成830点伤害，并晕眩目标和其附近的敌方单位，并晕眩3回合。,0,10000,140,15,3,1,0,60302,10000,8,60402,10000,8,-1,-1,-1,-1,-1,-1,-1,11,100,1,10010028,1,11000,600,-1,10,2,1,zjz_fengbaozhichui,zjz_fengbaozhichuishouji,zj_fengbaozhichui.jpg,0,64,-1,2,3,0,0,zs_fengbaozhichui.mp3,1.5,0,0,1.25,zs_fengbaozhichui.mp3,3,0,0,zs_fengbaozhichuishouji.mp3,0.04,0.04,0.04,0,0,0,0,
100207,风暴之锤,风暴之锤,7,向目标投掷魔法之锤，造成1330点伤害，并晕眩目标和其附近的敌方单位，并晕眩4回合。,0,10000,140,15,3,1,0,60303,10000,8,60403,10000,8,-1,-1,-1,-1,-1,-1,-1,13,100,1,10010028,1,24000,600,-1,10,2,1,zjz_fengbaozhichui,zjz_fengbaozhichuishouji,zj_fengbaozhichui.jpg,0,64,-1,2,3,0,0,zs_fengbaozhichui.mp3,1.5,0,0,1.25,zs_fengbaozhichui.mp3,3,0,0,zs_fengbaozhichuishouji.mp3,0.04,0.04,0.04,0,0,0,0,
100301,沟壑,沟壑,1,撼地神牛用图腾撕裂地表，形成巨大的沟壑，造成125点伤害，晕眩2回合。,0,10000,125,15,4,1,0,501,10000,4,601,10000,4,-1,-1,-1,-1,-1,-1,-1,1,100,0,-1,-1,-1,-1,-1,10,2,1,-1,zjz_gouhe,zj_gouhe.jpg,0,64,-1,0,3,0,0,zs_gouhe.mp3,3,0,0,1.25,zs_gouhe.mp3,3,0,0.05,-1,0.04,0.04,0.03,0,0,0,0,
100302,沟壑,沟壑,2,撼地神牛用图腾撕裂地表，形成巨大的沟壑，造成175点伤害，晕眩2回合。,0,10000,140,15,4,1,0,502,10000,4,602,10000,4,-1,-1,-1,-1,-1,-1,-1,3,100,0,-1,-1,-1,50,-1,10,2,1,-1,zjz_gouhe,zj_gouhe.jpg,0,64,-1,0,3,0,0,zs_gouhe.mp3,3,0,0,1.25,zs_gouhe.mp3,3,0,0.05,-1,0.04,0.04,0.03,0,0,0,0,
100303,沟壑,沟壑,3,撼地神牛用图腾撕裂地表，形成巨大的沟壑，造成225点伤害，晕眩3回合。,0,10000,155,15,4,1,0,503,10000,4,603,10000,4,-1,-1,-1,-1,-1,-1,-1,5,100,0,-1,-1,-1,250,-1,10,2,1,-1,zjz_gouhe,zj_gouhe.jpg,0,64,-1,0,3,0,0,zs_gouhe.mp3,3,0,0,1.25,zs_gouhe.mp3,3,0,0.05,-1,0.04,0.04,0.03,0,0,0,0,
100304,沟壑,沟壑,4,撼地神牛用图腾撕裂地表，形成巨大的沟壑，造成275点伤害，晕眩3回合。,0,10000,170,15,4,1,0,504,10000,4,604,10000,4,-1,-1,-1,-1,-1,-1,-1,7,100,0,-1,-1,-1,350,-1,10,2,1,-1,zjz_gouhe,zj_gouhe.jpg,0,64,-1,0,3,0,0,zs_gouhe.mp3,3,0,0,1.25,zs_gouhe.mp3,3,0,0.05,-1,0.04,0.04,0.03,0,0,0,0,
100305,沟壑,沟壑,5,撼地神牛用图腾撕裂地表，形成巨大的沟壑，造成440点伤害，晕眩3回合。,0,10000,270,15,4,1,0,60501,10000,4,60601,10000,4,-1,-1,-1,-1,-1,-1,-1,9,100,1,10010106|10010107,1|1,3000,600,-1,10,2,1,-1,zjz_gouhe,zj_gouhe.jpg,0,64,-1,0,3,0,0,zs_gouhe.mp3,3,0,0,1.25,zs_gouhe.mp3,3,0,0.05,-1,0.04,0.04,0.03,0,0,0,0,
100306,沟壑,沟壑,6,撼地神牛用图腾撕裂地表，形成巨大的沟壑，造成700点伤害，晕眩3回合。,0,10000,435,15,4,1,0,60502,10000,4,60602,10000,4,-1,-1,-1,-1,-1,-1,-1,11,100,1,10010028,1,11000,600,-1,10,2,1,-1,zjz_gouhe,zj_gouhe.jpg,0,64,-1,0,3,0,0,zs_gouhe.mp3,3,0,0,1.25,zs_gouhe.mp3,3,0,0.05,-1,0.04,0.04,0.03,0,0,0,0,
100307,沟壑,沟壑,7,撼地神牛用图腾撕裂地表，形成巨大的沟壑，造成1120点伤害，晕眩4回合。,0,10000,700,15,4,1,0,60503,10000,4,60603,10000,4,-1,-1,-1,-1,-1,-1,-1,13,100,1,10010028,1,24000,600,-1,10,2,1,-1,zjz_gouhe,zj_gouhe.jpg,0,64,-1,0,3,0,0,zs_gouhe.mp3,3,0,0,1.25,zs_gouhe.mp3,3,0,0.05,-1,0.04,0.04,0.03,0,0,0,0,
100401,龙破斩,龙破斩,1,释放一道火焰，对一条直线上的敌方单位造成100点伤害。,0,10000,90,9,5,1,0,701,10000,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,100,0,-1,-1,-1,-1,-1,10,2,1,zjz_longpozhan,zjz_longpozhanshouji,zj_longpozhan.jpg,1,64,-1,3,3,0,0,zs_longpozhan.mp3,3,0,0,0.8,zs_longpozhan.mp3,3,0,0,-1,0.04,0.04,0.04,0,0,0,0,
100402,龙破斩,龙破斩,2,释放一道火焰，对一条直线上的敌方单位造成170点伤害。,0,10000,105,9,5,1,0,702,10000,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,100,0,-1,-1,-1,50,-1,10,2,1,zjz_longpozhan,zjz_longpozhanshouji,zj_longpozhan.jpg,1,64,-1,3,3,0,0,zs_longpozhan.mp3,3,0,0,0.8,zs_longpozhan.mp3,3,0,0,-1,0.04,0.04,0.04,0,0,0,0,
100403,龙破斩,龙破斩,3,释放一道火焰，对一条直线上的敌方单位造成230点伤害。,0,10000,125,9,5,1,0,703,10000,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,0,-1,-1,-1,250,-1,10,2,1,zjz_longpozhan,zjz_longpozhanshouji,zj_longpozhan.jpg,1,64,-1,3,3,0,0,zs_longpozhan.mp3,3,0,0,0.8,zs_longpozhan.mp3,3,0,0,-1,0.04,0.04,0.04,0,0,0,0,
100404,龙破斩,龙破斩,4,释放一道火焰，对一条直线上的敌方单位造成280点伤害。,0,10000,140,9,5,1,0,704,10000,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,100,0,-1,-1,-1,350,-1,10,2,1,zjz_longpozhan,zjz_longpozhanshouji,zj_longpozhan.jpg,1,64,-1,3,3,0,0,zs_longpozhan.mp3,3,0,0,0.8,zs_longpozhan.mp3,3,0,0,-1,0.04,0.04,0.04,0,0,0,0,
100405,龙破斩,龙破斩,5,释放一道火焰，对一条直线上的敌方单位造成450点伤害。,0,10000,210,9,5,1,0,60701,10000,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,100,1,10010106|10010107,1|1,3000,600,-1,10,2,1,zjz_longpozhan,zjz_longpozhanshouji,zj_longpozhan.jpg,1,64,-1,3,3,0,0,zs_longpozhan.mp3,3,0,0,0.8,zs_longpozhan.mp3,3,0,0,-1,0.04,0.04,0.04,0,0,0,0,
100406,龙破斩,龙破斩,6,释放一道火焰，对一条直线上的敌方单位造成720点伤害。,0,10000,315,9,5,1,0,60702,10000,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,100,1,10010028,1,11000,600,-1,10,2,1,zjz_longpozhan,zjz_longpozhanshouji,zj_longpozhan.jpg,1,64,-1,3,3,0,0,zs_longpozhan.mp3,3,0,0,0.8,zs_longpozhan.mp3,3,0,0,-1,0.04,0.04,0.04,0,0,0,0,
100407,龙破斩,龙破斩,7,释放一道火焰，对一条直线上的敌方单位造成1150点伤害。,0,10000,470,9,5,1,0,60703,10000,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,100,1,10010028,1,24000,600,-1,10,2,1,zjz_longpozhan,zjz_longpozhanshouji,zj_longpozhan.jpg,1,64,-1,3,3,0,0,zs_longpozhan.mp3,3,0,0,0.8,zs_longpozhan.mp3,3,0,0,-1,0.04,0.04,0.04,0,0,0,0,
100501,叉形闪电,叉形闪电,1,对前方1个目标施放闪电，造成140伤害。,0,10000,95,8,6,1,0,801,10000,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,100,0,-1,-1,-1,-1,-1,10,2,1,zjz_shenmiezhan,zjz_shenmiezhanshouji,zj_chaxingshandian.jpg,0,64,-1,1,3,0,0,-1,3,0,0,1.25,-1,3,0,0,zs_leiji.mp3,0.04,0.04,0.04,0,0,0,0,
100502,叉形闪电,叉形闪电,2,对前方1排目标施放闪电，造成200伤害。,0,10000,105,8,6,1,0,802,10000,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,100,0,-1,-1,-1,50,-1,10,2,1,zjz_shenmiezhan,zjz_shenmiezhanshouji,zj_chaxingshandian.jpg,0,64,-1,1,3,0,0,-1,3,0,0,1.25,-1,3,0,0,zs_leiji.mp3,0.04,0.04,0.04,0,0,0,0,
100503,叉形闪电,叉形闪电,3,对前方所有目标施放闪电，造成260伤害。,0,10000,135,8,6,1,0,803,10000,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,100,0,-1,-1,-1,250,-1,10,2,1,zjz_shenmiezhan,zjz_shenmiezhanshouji,zj_chaxingshandian.jpg,0,64,-1,1,3,0,0,-1,3,0,0,1.25,-1,3,0,0,zs_leiji.mp3,0.04,0.04,0.04,0,0,0,0,
100504,叉形闪电,叉形闪电,4,对前方所有目标施放闪电，造成320伤害。,0,10000,160,8,6,1,0,804,10000,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,100,0,-1,-1,-1,350,-1,10,2,1,zjz_shenmiezhan,zjz_shenmiezhanshouji,zj_chaxingshandian.jpg,0,64,-1,1,3,0,0,-1,3,0,0,1.25,-1,3,0,0,zs_leiji.mp3,0.04,0.04,0.04,0,0,0,0,
100505,叉形闪电,叉形闪电,5,对前方所有目标施放闪电，造成510伤害。,0,10000,240,8,6,1,0,60801,10000,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,100,1,10010106|10010107,1|1,3000,600,-1,10,2,1,zjz_shenmiezhan,zjz_shenmiezhanshouji,zj_chaxingshandian.jpg,0,64,-1,1,3,0,0,-1,3,0,0,1.25,-1,3,0,0,zs_leiji.mp3,0.04,0.04,0.04,0,0,0,0,
100506,叉形闪电,叉形闪电,6,对前方所有目标施放闪电，造成820伤害。,0,10000,360,8,6,1,0,60802,10000,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,100,1,10010028,1,11000,600,-1,10,2,1,zjz_shenmiezhan,zjz_shenmiezhanshouji,zj_chaxingshandian.jpg,0,64,-1,1,3,0,0,-1,3,0,0,1.25,-1,3,0,0,zs_leiji.mp3,0.04,0.04,0.04,0,0,0,0,
100507,叉形闪电,叉形闪电,7,对前方所有目标施放闪电，造成1310伤害。,0,10000,540,8,6,1,0,60803,10000,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,100,1,10010028,1,24000,600,-1,10,2,1,zjz_shenmiezhan,zjz_shenmiezhanshouji,zj_chaxingshandian.jpg,0,64,-1,1,3,0,0,-1,3,0,0,1.25,-1,3,0,0,zs_leiji.mp3,0.04,0.04,0.04,0,0,0,0,
100601,刚毛后背,刚毛后背,1,刚背兽的后背有刚毛覆盖，减少16%他所受到的伤害。,-1,10000,0,0,7,1,1,901,10000,0,1001,10000,0,-1,-1,-1,-1,-1,-1,-1,1,100,0,-1,-1,-1,-1,-1,10,2,1,-1,zjz_gangmaohoubei,zj_gangmaohoubei.jpg,0,64,-1,0,1.5,0,0,-1,3,0,0,1.25,-1,3,0,0,-1,0.04,0.04,0.4,0,0,0,0,
100602,刚毛后背,刚毛后背,2,刚背兽的后背有刚毛覆盖，减少24%他所受到的伤害。,-1,10000,0,0,7,1,1,902,10000,0,1002,10000,0,-1,-1,-1,-1,-1,-1,-1,3,100,0,-1,-1,-1,50,-1,10,2,1,-1,zjz_gangmaohoubei,zj_gangmaohoubei.jpg,0,64,-1,0,1.5,0,0,-1,3,0,0,1.25,-1,3,0,0,-1,0.04,0.04,0.4,0,0,0,0,
100603,刚毛后背,刚毛后背,3,刚背兽的后背有刚毛覆盖，减少32%他所受到的伤害。,-1,10000,0,0,7,1,1,903,10000,0,1003,10000,0,-1,-1,-1,-1,-1,-1,-1,5,100,0,-1,-1,-1,250,-1,10,2,1,-1,zjz_gangmaohoubei,zj_gangmaohoubei.jpg,0,64,-1,0,1.5,0,0,-1,3,0,0,1.25,-1,3,0,0,-1,0.04,0.04,0.4,0,0,0,0,
100604,刚毛后背,刚毛后背,4,刚背兽的后背有刚毛覆盖，减少40%他所受到的伤害。,-1,10000,0,0,7,1,1,904,10000,0,1004,10000,0,-1,-1,-1,-1,-1,-1,-1,7,100,0,-1,-1,-1,350,-1,10,2,1,-1,zjz_gangmaohoubei,zj_gangmaohoubei.jpg,0,64,-1,0,1.5,0,0,-1,3,0,0,1.25,-1,3,0,0,-1,0.04,0.04,0.4,0,0,0,0,
100605,刚毛后背,刚毛后背,5,刚背兽的后背有刚毛覆盖，减少43%他所受到的伤害。,-1,10000,0,0,7,1,1,60901,10000,0,61001,10000,0,-1,-1,-1,-1,-1,-1,-1,9,100,1,10010106|10010107,1|1,3000,600,-1,10,2,1,-1,zjz_gangmaohoubei,zj_gangmaohoubei.jpg,0,64,-1,0,1.5,0,0,-1,3,0,0,1.25,-1,3,0,0,-1,0.04,0.04,0.4,0,0,0,0,
100606,刚毛后背,刚毛后背,6,刚背兽的后背有刚毛覆盖，减少46%他所受到的伤害。,-1,10000,0,0,7,1,1,60902,10000,0,61002,10000,0,-1,-1,-1,-1,-1,-1,-1,11,100,1,10010028,1,11000,600,-1,10,2,1,-1,zjz_gangmaohoubei,zj_gangmaohoubei.jpg,0,64,-1,0,1.5,0,0,-1,3,0,0,1.25,-1,3,0,0,-1,0.04,0.04,0.4,0,0,0,0,
100607,刚毛后背,刚毛后背,7,刚背兽的后背有刚毛覆盖，减少50%他所受到的伤害。,-1,10000,0,0,7,1,1,60903,10000,0,61003,10000,0,-1,-1,-1,-1,-1,-1,-1,13,100,1,10010028,1,24000,600,-1,10,2,1,-1,zjz_gangmaohoubei,zj_gangmaohoubei.jpg,0,64,-1,0,1.5,0,0,-1,3,0,0,1.25,-1,3,0,0,-1,0.04,0.04,0.4,0,0,0,0,
